book_name,authors,publisher,pub_time,desc,score,people_num,price,img
把悲伤留给电影,陈德森 口述、林敏怡 笔录 ,上海三联书店, 2023-3 ,成龙作序，深情推荐 《十月围城》香港电影金像奖导演陈德森首部文字作品 回望港片黄金时代，从小助理到大导演，不畏挑战的逐梦人生之旅 前半生人生如戏，后半生戏如...,8.1,97, 68.00元,https://img1.doubanio.com/view/subject/s/public/s34459220.jpg
昆汀·塔伦蒂诺访谈录,[美] 杰拉尔德·皮尔里  邵逸 ,南京大学出版社, 2022-11 ,【编辑推荐】 ★昆汀·塔伦蒂诺访谈合集首译中文，《低俗小说》《杀死比尔》标配读物，精选二十四篇重要访谈。 -------------------------...,8.3,476, 68.00,https://img9.doubanio.com/view/subject/s/public/s34321506.jpg
电影语言的语法（插图修订版）,[乌拉圭] 丹尼艾尔·阿里洪  陈国铎、黎锡、周传基 审校、周传基 ,北京联合出版公司, 2013-2 ,★ 全球畅销三十余年并被翻译成数十种语言，被公认为讨论导演、摄影、剪辑等电影影像画面组织技巧方面最详密、实用的经典之作 ★ 从实践出发阐明摄影机位、场面调度...,8.3,1645, 69.80元,https://img1.doubanio.com/view/subject/s/public/s33985750.jpg
悲剧救赎：朴赞郁的电影,[韩]金泳辰  史晓雪 ,北京联合出版公司, 2023-7 ,“我拍的电影不会完美无缺，缺陷是它们的魅力所在。” 【编辑推荐】 ★朴赞郁电影美学和理念溯源 朴赞郁一直以来试图扭曲类型预设，始终关注道德的阴暗面和模糊性，...,7.0,41, 52.00,https://img9.doubanio.com/view/subject/s/public/s34598865.jpg
幻想大象：李沧东的电影,[韩]金泳辰  顾冰珂 ,北京联合出版公司, 2023-7 ,“谁会喜欢一个只说正经话的笨蛋呢？！” 【编辑推荐】 ★诗性电影导演李沧东生涯早期回顾 震惊影坛的“绿色三部曲”如何将电影幻想和现实碰撞，职业道路多次转变到...,7.1,93, 42.00元,https://img1.doubanio.com/view/subject/s/public/s34598580.jpg
诺兰的电影世界 : 无限的想象力,[英] 杰奎琳·弗比、[英] 斯图尔特·乔伊 编著  王枫 ,商务印书馆, 2023-9 ,1. 18位电影学者多角度解读诺兰作品 2. 剖析《追随》《盗梦空间》《星际穿越》等9部高分电影 3. 透视记忆、时间、创伤、身份认同等主题 4. 探寻诺兰...,,10, 98.00,https://img2.doubanio.com/view/subject/s/public/s34642341.jpg
故事 : 材质·结构·风格和银幕剧作的原理,[美] 罗伯特·麦基  周铁东 ,天津人民出版社, 2014-9 ,自1997年初版以来，《故事》一直是全世界编剧的第一必读经典，至今，仍属于美国亚马逊最畅销图书中的Top 1%。集结了罗伯特•麦基30年的授课经验，本书在对...,9.2,18663, 68.00元,https://img1.doubanio.com/view/subject/s/public/s27598249.jpg
电影艺术（插图第8版） : 形式与风格,[美] 大卫·波德维尔、克里斯汀·汤普森  曾伟祯 ,世界图书出版公司, 2008-10 ,《电影艺术》第1版面世于1979年，此后历经七次修订，早已成为电影学领域公认的标尺性著作。这本书内容宏广，从对电影制作的技术性解说、对构成电影各元素的系统化...,9.0,3613, 78.00元,https://img9.doubanio.com/view/subject/s/public/s3281386.jpg
毫无意义 : 伍迪·艾伦自传,[美] 伍迪·艾伦  btr ,新星出版社, 2022-12-1 ,他叫伍迪·艾伦，戴个眼镜，老是紧皱眉头，唠叨永远不停。 他每年拍一部电影，《午夜巴黎》《安妮·霍尔》《曼哈顿》，你一定看过他的作品。每一部都是自己写剧本，如...,7.8,1820, 69,https://img1.doubanio.com/view/subject/s/public/s34349400.jpg
胡金铨武侠电影作法,胡金铨 述、[日]山田宏一、宇田川幸洋 著  厉河、马宋芝 ,北京联合出版公司, 2015-10 ,武侠电影宗师胡金铨唯一口述自传 详解如何借用中国传统戏曲、古典诗词、民间风俗 独创具有东方意蕴的武侠电影语言 【编辑推荐】 侠气古肠剑犹在，灵雨空山动江湖。...,9.0,1345, 49.80元,https://img1.doubanio.com/view/subject/s/public/s28296410.jpg
我身在历史何处,[塞尔维亚] 埃米尔·库斯图里卡  苑桂冠 ,湖南人民出版社, 2017-11 ,两获金棕榈奖的前南斯拉夫电影导演、演员、音乐人 埃米尔·库斯图里卡——1954年出生于萨拉热窝，是世界上伟大的电影艺术家之一，他的人生正如他的电影：激烈、丰...,8.6,1521, CNY 69.00,https://img9.doubanio.com/view/subject/s/public/s29596586.jpg
电影概论 (第2版),杨远婴 (主编) ,北京联合出版公司, 2017-8 ,一本全面系统的入门读物 为不同程度的电影爱好者提供纲要式的认知轮廓 ..................... ※编辑推荐※ 《电影概论》是一本视野宽广、内...,8.7,616, 99.80元,https://img9.doubanio.com/view/subject/s/public/s29492804.jpg
特吕弗: 我生命中的电影,[法]弗朗索瓦·特吕弗  黄渊 ,中信出版社, 2023-4 ,【编辑推荐】 ★殿堂级导演特吕弗亲自编选百余篇影评结集 ★回溯大师眼中的影史与经典，展示电影发展的珍贵资料，畅谈电影美学的基础与核心，向诸多电影英雄致敬 ★...,8.7,37, 88,https://img1.doubanio.com/view/subject/s/public/s34493979.jpg
好電影的法則 : 101堂電影大師受用一生的UCLA電影課,Neil Landau  吳莉君 ,原點, 2013-1-17 ,◎最受歡迎的UCLA電影課，逾60年的電影精英授課菁華 ◎電影大師柯波拉、導演Tim Robbins、金獎紀錄片導演Gibney、金獎剪接師Scalia等人...,7.7,222, NT 280,https://img2.doubanio.com/view/subject/s/public/s24977193.jpg
