user_name,user_id,group,user_beizhu
weictsai,lonestarstar,"老师 , 人文社科",台湾历史学家
jks0053,177617535,老师,历史学家
装睡的人,48669611,人文社科,
豆友 3181644,dreariness,老师,欧洲农学博士
喵喵喵,viking_mew_two,,
Ad_infinitum,81194074,"IT, 人文社科",计算神经科学
章鱼喵是差分机,emptymalei,,
M. Tong,demon386,未分组,
格林,fuckingmylife,,博士转交互硕士
彭浩翔,187076026,未分组,
东观西望,weivteam,未分组,
豆友 3150207,yiri,新传,海外传播学教师
方慧,tianbian0531,作家,
camus,camus808,"老师 , 人文社科",陈纯
豆友 4736900,pillbug,"老师 , 人文社科",
小油飞,neverbutterfly,人文社科,社会学博士刘冉
龙文图斯,48444678,"老师 , 量化 , 人文社科",美帝经济学教师
marego,marego,人文社科,计算语言学研究
[已注销],91926229,人文社科,逻辑学博士
穿堂风,smile0802,"IT, 新传",新闻转 DS
[已注销],67150157,人文社科,英管理学 phd
荷猪,hezhumoqi,"老师 , 量化 , 人文社科 , 新传",传播学青椒
Sarcophagus,sarcophagus,"老师 , 人文社科",社会学教师
池建强,ChiJianqiang,,
木木,Arabian_mu,"老师 , 量化 , 人文社科 , 新传",城大传播学博士
[已注销],120191929,,统计学博士
安安无名氏,lvjsandra,人文社科,国立大中文博士
紧握刀锋,graypick,老师,通信系教师
嗜睡症患者,smokysmoky,"老师 , 人文社科",华中师社会学
五道口奥萨玛,3860600,"老师 , 新传",中传周逵
锦瑟,dqu,未分组,
左思,zuogy,"老师 , 人文社科",山大左根永
CMGS,CMGS,,新加坡程序员
pluskid,pluskid,,MIT 博士
苏诺,suknow,,UX 博士
理性批判,thoughts,老师,政治学教师
◇,paradisiacal,,日本 CS 博士
Instante,instante_42,,谷歌工程师
小廖,154386146,人文社科,剑桥社科博士
yihan 爱书橱,yummyhue,新传,NTU 传播学博士
安提戈涅,47929578,"老师 , 人文社科",云师大张秋子
深蓝 1984,lzx6414,"老师 , 人文社科",川师教育学
大旗虎皮,daqihupi,老师,北师艺术学教授
小羊战,zhanyang,"老师 , 人文社科",港科大战洋
BBpanda,shaqingqing,"读书 , 人文社科",上图沙青青
书评之乱,zhu-ke,人文社科,
毛樱桃,maoyingtao,"老师 , 人文社科",
史小美,drxiaoshi,老师,教育学青椒
橙汁多,metadean,人文社科,
菊长,ayongli,,
momo,belborn,老师,大学教师
[已注销],43778626,"老师 , 人文社科",北大教师
Everett,Everett,老师,UCSD 物理系教师
fateholder,fateholder,人文社科,心理咨询
旸谷,lelinglong,,IT 图书编辑
п，已限流,obafgkm,老师,上海 985 教师
sub rosa,freyteamo,"老师 , 人文社科",厦大历史系教师
行简,Frank.Zhao,人文社科,心理学博士
NILNAID,211056441,老师,黄典林老师
沈枯燥累了🐝,krisshen,老师,
蔓玫,rosecrimson,作家,
豆友 199033936,199033936,人文社科,
makzhou,makzhou,"老师 , 量化",澳大教育学
无非,N.B.,"老师 , 人文社科",计量大学哲学
一杠,190651022,未分组,
大象放映室,151340396,网红,
经济人读书会,151661726,人文社科,
功夫熊猫大碗熊,204684900,人文社科,
兔儿仙仙,April_me,"IT, 人文社科",中文转 CS
苏豆酱,36946616,"老师 , 新传",传播学青椒
泥豆尼痘昵,87984711,"IT, 人文社科",心理学博士
sky,42468772,"人文社科 , 新传",美帝传播学博士
卤味儿许,realwish,"人文社科 , 新传",美传播学博士
Cornlee,Cornlee,"老师 , 量化",经济学教师
[已注销],38793609,,
雪地里的水煮蛋,46242452,未分组,
碧云飘鹤,maguang,"老师 , 人文社科",山大历史教师
张跃然,revoroad1992,人文社科,伯克利社会学
HungChing1982,hungching1982,人文社科,技术哲学博士
会打字的跳舞机,echobest,新传,貌似新传博士
起床，吃饭,luqy,未分组,导演
曳尾于涂,ZHDaniel,老师,大学教师
newleft,54988619,"IT, 老师",
新京报书评周刊,ibookreview,读书,
子珂,wohaobeia,,同济大学赵子珂
NW,nuanwen0816,老师,美国理科博士
豆瓣音乐,doubanyinyue,未分组,
辄馨,2116608,人文社科,上博张经纬
火山上的一坨石,54973750,"网红 , 新传",鲸书
忘机,wangji,"老师 , 人文社科",华南师大老师
southstarj,southstarj,老师,
陈吉吉 CHANJIJI,chanjiji,"老师 , 人文社科",
nyouyou,nyouyou,老师,颜宁老师
北岛,158459516,作家,
lyb,lyb.WHU,"老师 , 量化",
Yuna,baby-zi,"人文社科 , 网红",挪威经济学教师
喂虾米,tcya,,化学转 CS
养猪专业户,60435276,"老师 , 人文社科",
lily_leung,lily_leung03,新传,梁丽丽
邵氏学府,shaoli,新传,浙大的
单向空间,152795851,读书,
一条,yitiaotv,人文社科,
企鹅兰登中国,PenguinChina,读书,
TOP250 新晋速报,180473665,网红,
豆瓣小组热议,180441894,网红,
豆瓣读书排行榜,180457410,读书,
人间 theLivings,161517593,人文社科,
好奇心日报,120941130,读书,
果壳,guokr42,读书,
三联韬奋书店,218311769,读书,
一席,190512896,人文社科,
豆瓣豆品,doubanshiji,网红,
东篱岸,151800889,人文社科,传播学博士
Siyuan ZHAO,187060140,"老师 , 人文社科",交大历史系
三坨土,169002688,网红,网红
竹内亮,192115874,网红,
李连江,183943427,"老师 , 人文社科",
化城,totorooa,老师,
凉风寂舞,yinjiwu,老师,人大国关
梁中和,loverlzh,"老师 , 人文社科",川大哲学
春雪,122198233,"老师 , 人文社科",暨大文学教师
Saga,sonnigshue,人文社科,北大社会学博士
历史理性,hito3913640,"读书 , 老师 , 人文社科",
960,2184090,读书,
文在兹,sunqitom,读书,
挂浆机,211730642,"老师 , 人文社科",
恒意林,219433113,老师,
hzbbb,hzbbb,人文社科,经济学博士
张宇涵🔒,Zhang_Yuhan,人文社科,
四不象,tabris17,,豆坟作者
豆坟,doufen-org,,
[已注销],199116790,老师,
豆瓣影视排行榜,180457303,网红,
豆瓣电影,doubanfilm,网红,
新片情报局,180441686,网红,
豆瓣最热预告片,180441582,网红,
8 分电影新成员,180473770,网红,
曉宇,30338291,"老师 , 人文社科",北大吴琦
Binns,139615131,人文社科,历史系
南歌,smart4you,,海外 ee 博导
α-γρεεv,JeanCellNia,老师,
豆友 225641092,225641092,"IT, 老师",计算机博导
躺平,51472109,老师,同济建筑系教师
拾贝岛民,cityupeople,老师,城大薛求理
स्वादिस्ट,ljddp,老师,重大城市史教师
fwb,fwb,老师,上交建筑系教师
crusader,CrusaderTan,老师,建筑系博导
Rexxx,207641733,,nlp 博士
QQ 的汤包,60048536,老师,985 物理教师
cobblest,cobblest,,UX
豆友 4287510,holicjack,老师,
lejson,lejson,"老师 , 人文社科",
范德一彪 Alex,mapleafdog,老师,医学教师
𝑆𝑖𝑜𝑢𝑥,siouxyu,"老师 , 人文社科",南大文学教师
helenclaire,helenclaire,"老师 , 人文社科",
姬流,2800679,老师,
小茴香🌙,186622972,"老师 , 人文社科",历史系王申
蟹老板 Workshop,IVYCLOSER,未分组,
PhDPlanet,167174719,未分组,
豆友 2217079,vulabula,"老师 , 人文社科",美宗教学教师
机动美少年高興,ninja_yao,,
Sophie  Z,sophie-z,,
瞿起田,77218037,人文社科,大学历史教师
momo,pangtuzigy,"老师 , 量化 , 人文社科",
翕如,sociology_and_I,老师,社科教师
文社,236338185,未分组,
水月神,jzfrlucy,"老师 , 人文社科",
Blade King,kingblade,老师,
neb,nicbi,"老师 , 人文社科 , 新传",美国传播学教师
沈玉宁 \\\\,shenyuning,"老师 , 人文社科",浙师大语言学
多喜子,monika76,"老师 , 量化",美国统计学教师
怀空,huaikung,"老师 , 量化 , 人文社科",
蒋颉颃要中青基,shinsei,老师,园林教师
[已注销],216577614,人文社科,
女权之声,Women-Voice,未分组,
兔子晴,BPTM,人文社科,东大新闻史
短章,smallwinnie,"老师 , 人文社科",政治学教师
水之南,forings,"老师 , 人文社科",哲学教师
夜猫小丘,154810312,量化,亚马逊经济学家
fka EyeCU,thououtsiders,"量化 , 人文社科",
随机行走,marchealeatoire,老师,美国物理系教师
老甘蔗,44597968,老师,
重忆小窗纱,76708282,人文社科,历史学博士
豆友 44712664,44712664,老师,法学教师
茼蒿,120268630,"IT, 老师 , 量化",美国统计学博士
蘭若,aranya1017,"老师 , 量化",
moomin101,1008662,人文社科,
云飞扬,ivy_zhang,老师,大学物理教师
Blavatsky,Mdm.Blavatsky,"老师 , 人文社科",复旦包慧怡
tony,2542745,老师,慕大印欧语教师
Clarence,71125889,量化,
小荷,mirrorballho,"老师 , 人文社科",
南池子,nanchizi,"老师 , 人文社科",
Renco,renco,未分组,西财校友
冰湖守夜人,binghushouyeren,"老师 , 量化 , 人文社科",CSS 曹立坤
Desiduous,fenwickzeng,"老师 , 人文社科",
GingLam,kissdekill,"老师 , 人文社科",南财社工系
维卡斯基,49614031,老师,
miao,neuvo,老师,神经科学
豆友 2959860,linpeiyuan,"老师 , 人文社科",暨大中文校友
青草山药红枣糕,197006228,老师,
hep-th,65163170,老师,大学物理教师
安平君 1909,tree0824,老师,历史教师
卷毛教授,218976694,"老师 , 人文社科",
山鹿仮の庵,egawa,"老师 , 人文社科",
housan,139983749,"老师 , 人文社科",
豆友 196325192,196325192,人文社科,
宰妮亚,183694899,"人文社科 , 新传",鹿特丹讲师
王老师,pihuaduowang,"老师 , 人文社科",央财 soc 王修晓
話有不言齋主人,183638104,"老师 , 人文社科",性别史 博士生
枯等丝之歌,56292889,人文社科,经济学博士
豆友 73262344,73262344,"老师 , 人文社科",文科教师
有点笨,242427907,人文社科,慕大研究者
lowai,lowai,老师,
Sean,aurora1625,未分组,新加坡博士工作
荏苒在衣,3528137,"老师 , 人文社科",西南交德语何俊
肥匪廢 · 老🐰,zkidult,老师,西南大学老师
书白,regnarts,"老师 , 人文社科",北大季剑青
chadwick,46652145,"老师 , 人文社科",
Kallas,z2467698,量化,
xiongbear01,xiongbear01,老师,熊老师
猫咪托腮帮,248430629,"老师 , 人文社科",
pigguo,pigguo,人文社科,
Fermionian,35946097,老师,
牧,loveandfreedom,"老师 , 人文社科",
我对你的无语简直能沉默整个宇宙,drleesilentnigh,"老师 , 人文社科",
境外势力大猫咪,196887759,新传,
Owen22,151743872,新传,
Axé,herbie,老师,
PEAR,whattheheck,老师,
马洲洋,zhouyangma,人文社科,哈佛文学博士
Bananafish,dengliang,"老师 , 人文社科",
Deetz,alltagsleben,"老师 , 量化",
怀空三窟,huaikong3,"老师 , 量化 , 人文社科",
喆,207440704,老师,
Ronald,2124266,老师,理工科博导
.,LX9706192107,"老师 , 人文社科",
巨翅,wushangwei,老师,尚蔚
酒药女佛,1787063,老师,
相声讲医生,162392828,网红,
豆友 2448828,zhangfengwen,老师,大学老师
新史学,183304678,未分组,
#ArtfulDodger#,shushanshao,"老师 , 人文社科",外语系老师
海风下,17394141,老师,
shirley xie,66851184,老师,城市规划教师
2⃣️🐶🐶,120409758,新传,THU 博士童桐
不发奋子,gargamel,未分组,
功夫熊猫中碗熊,251217201,网红,
也者乎之,37673954,量化,
dawamesk,82445623,"量化 , 人文社科",
阿佐,20641865,老师,
信睿周报,the_thinker,读书,
鸿飞九万里,RichardZhaoJr,未分组,马凌老师儿子
Kelsi Young,48528771,"老师 , 人文社科",
于小师,fupies,"老师 , 人文社科",
MrVeritas,MrVeritas,人文社科,律师
莫须有先生,lengshuang,"老师 , 人文社科",
阿莫西奥,liosha_bfsu,"老师 , 人文社科",
Steppenwolf,162818280,人文社科,ccr 美硕
慧新读书,203774618,读书,
Raphaelle,4100985,"老师 , 人文社科",外文系老师
墨绪,moxu,"老师 , 人文社科",
Colin Mahler,colind,"老师 , 人文社科",
做梦的猫,dreamingkitty,老师,
w,1661560,老师,大学老师
水草狗,shicaogou,量化,社会学人
韧勉,anchoretic,人文社科,历史学博士
港中大出版社,cuhkpress,读书,
吹二千,189767750,"老师 , 新传",上交崔迪
咩咩咩,39008769,"老师 , 新传",
KC Wang,79449763,人文社科,华中师大王欧
一碗刀削面,214773325,人文社科,科学计量学
sophie,arendt2006,老师,
shirley,17114874,老师,
後東塾 III,228001267,老师,
兰台,70250468,"老师 , 新传",
闻风,48381733,"老师 , 新传",
春诵夏弦,35072101,未分组,
一切归零,wenfengning,"老师 , 人文社科",
文化纵横,wenhuazongheng,未分组,
四明,rudyforever,老师,
豆瓣 Mark,194275189,读书,
深蓝 1984 二世,256868611,老师,
shenlan1984,shenlan2020,老师,
张琳,254708434,未分组,
数字译文,shtph,读书,
《看电影》,movieview2019,未分组,
竹子哟竹子✨,MoNoMilky,,
此刻有冰,155591171,读书,
.,56286790,"老师 , 量化",
西郊那边,4359732,"老师 , 人文社科",
书格,shugeorg,读书,
涧蓬,jianpeng,老师,华工法学院
玉米的名字,183477592,新传,美 comm 博士
新世相,147681591,未分组,
看客 inSight,164799715,未分组,
豌豆黄儿,wdhlst,老师,国戏老师
momo,207320540,,
杜瑟,144906475,人文社科,美社科 PhD
兰小欢,188722483,老师,econ prof
聂日明,nieriming,老师,
人生偶像马局长,73703275,网红,
murmur,2285992,人文社科,美 pol 博士
曳尾 .avi,Daseingang-chen,老师,建筑史
周不周,jiangshanren,"老师 , 人文社科",苏州历史教师
Terrence,terrymyc,量化,密大 ds 博士
胡蓝,42200071,人文社科,
戚戚,emma9011,老师,
手指饼干一枚,191490045,新传,阿大 comm 硕士
汗青堂,hinabookhqt,读书,
肥猫喃,254562675,未分组,
造就,zaojiucom,未分组,
梁小州,191139140,网红,
benshuier,1029207,人文社科,历史学博士
硬核 Mark,189654707,网红,
川骆,liangsongpku,老师,西财老师
切片计划,pigsintheriver,网红,
娜塔,natalie1984,量化,econ phd
Prunus d,elise901,人文社科,sts phd
头号大文盲,JokerSan,人文社科,
大妇女,aada,未分组,邵艺辉
何桃仁儿,55305825,新传,传播学博士
猫叔 Mack,mackalex,未分组,
深焦 DeepFocus,139444387,未分组,
陆支羽,luzhiyu,未分组,电影达人
陀螺凡达可,cabaret,未分组,电影达人
方和斐,202844410,未分组,物理 phd
谭香山,lilteax,人文社科,文学 phd
朴光,222694049,老师,AP
与学术怪兽战斗,128321386,人文社科,
乔纳森,qiaonasen,未分组,
豆瓣片单,122625445,未分组,
肖一 Shawy,XYLJ2020,新传,传媒学人
莫一傲,firnhome,老师,
calvino,ottokna,新传,
广州方所,247717202,读书,
Roquentin,yz2981,人文社科,美人类学博士生
Geng,203453714,老师,教育学青椒
在屋外的黑暗中,175014444,老师,
Nick,51262499,老师,
潘豆在做工,wangdekong,老师,
小波福娃,duanmuyi,作家,性别写作者
新公民计划,NewCitizen,未分组,
楚囚,kangkaigeyanshi,老师,
流水的影子,48047142,"老师 , 人文社科",
春花制造机,Chunhuamaker,人文社科,人类学教师
纪恩同学,2515574,人文社科,东南大钱霖亮
新月,sishuinianhua88,人文社科,法理学教师
被燒焦的 ~ 黑魚,rainingkoo,人文社科,曹雨
33,WoMenYuPingQuan,人文社科,我们与平权
波吉さま,61789491,人文社科,gender-mv
Octopus,47378879,人文社科,
gavin.j,crystalloid,"老师 , 新传",
姨阿熊,263885127,新传,
蕉麥麒,255292877,老师,大学教师
春水,wangzhexian,未分组,大学教师
晴川',84358863,"老师 , 量化",北师大心理博士
梁大人,60788347,"老师 , 人文社科",清史大学教师
Lebenswelt,253171290,未分组,大学老师
城市笔记人,dyl703,老师,建筑学教师
hatashi,hatashi,"老师 , 人文社科",城大法学教师
张汉,hankzh31,"老师 , 人文社科",
踢迩达,tildali1214,"人文社科 , 新传",THU 新传博士生
鸭子模拟器,197705324,新传,JNU23 新闻学硕
长白天一,just2006,人文社科,
FONTAINE,vita_nuova,"老师 , 人文社科",文学系教师
伯樵 · 阿苏勒,yuanzhigao_0,人文社科,
武,jinan,"老师 , 人文社科",
李诚予,daniellee,老师,法学教师
大獾,liangjianyupku,人文社科,中文教师
鵬鵬 James,spiderpeng,"老师 , 人文社科",中大历史詹镇鹏
Neil,3822224,"老师 , 人文社科",
松花蛋,3847164,"老师 , 人文社科",人类学教师
云井木,Ghost1987,"老师 , 人文社科 , 新传",传播学教师
撒冷的乌凌,62502826,人文社科,美犯罪学 AP
Amadeus,138867615,量化,心理学人
白羊木工,251549923,"老师 , 人文社科",
