book_name,authors,publisher,pub_time,desc,score,people_num,price,img
论再生产,[法]路易·阿尔都塞  吴子枫 ,西北大学出版社, 2019-7 ,阿尔都塞在五月风暴后撰写的重要手稿，其最有影响力的论文《意识形态和意识形态国家机器》即由从中抽取的片段合成。本书在作者去世后出版，被认为是其最具体系性的文本...,9.6,1235, 106.00,https://img1.doubanio.com/view/subject/s/public/s34343137.jpg
世界的意义就在于事与愿违,梅剑华主编 ,上海文艺出版社, 2023-9 ,哲学和艺术都是人类对世界的系统认知，二者之间具有内在关联。哲学为艺术产生新的观念形态，艺术为哲学打开新的精神空间。在跨界研究的时代，艺术和哲学的交融交锋将会...,,10, 78.00,https://img1.doubanio.com/view/subject/s/public/s34590018.jpg
局外人,[法] 阿尔贝·加缪  柳鸣九 ,上海译文出版社, 2010-8 ,《局外人》是法国作家加缪的成名作，同时也是存在主义文学的杰出作品之一，该书以一种客观记录式的“零度风格”，粗线条地描述了主人公默尔索在荒谬的世界中经历的种种...,9.1,230423, 22.00元,https://img9.doubanio.com/view/subject/s/public/s4468484.jpg
利维坦,[英] 霍布斯  黎思复、黎廷弼 ,商务印书馆, 1985-9 ,《利维坦》全书分为四部分。第一部分开宗明义宣布了作者的彻底唯物主义自然观和一般的哲学观点，声称宇宙是由物质的微粒构成，物体是独立的客观存在，物质永恒存在，既...,8.8,5273, 35.00元,https://img2.doubanio.com/view/subject/s/public/s1755872.jpg
像罗马皇帝一样思考 : 马可·奥勒留的斯多葛主义哲学,[加]唐纳德·J.罗伯逊  向朝明 ,中央编译出版社, 2023-5 ,在本书中，作者带领我们与古罗马皇帝马可·奥勒留一起踏上人生之旅，跟随他从哈德良宫廷的年轻贵族，逐步成长为罗马帝国大权在握的皇帝；见证他如何在一生中经历困顿、...,8.4,100, 59.80元,https://img9.doubanio.com/view/subject/s/public/s34544185.jpg
黑格尔导论 : 自由、真理与历史,[英] 斯蒂芬·霍尔盖特（Stephen Houlgate）  丁三东 ,商务印书馆, 2013-11 ,黑格尔素有哲学家的哲学家之称，其哲学以一种非常显著的方式渗透进当代理智生活，既艰深晦涩又极端重要；其广博的著作是对大量现代论题产生重要影响的哲学王国。 本...,9.3,747, 75.00元,https://img1.doubanio.com/view/subject/s/public/s27104277.jpg
观念的冲突,[美] 托马斯·索维尔  夏维勇 ,民主与建设出版社, 2023-8 ,当我们在谈论正义、权利、平等时，我们在谈论什么？ 《财富、贫穷与政治》《美国种族简史》《经济学的思维方式》作者索维尔 用观念的冲突揭示现代社会思想分裂的根源...,8.9,45, 65.00元,https://img9.doubanio.com/view/subject/s/public/s34615405.jpg
如何阅读福柯,[芬]约翰娜· 奥克萨拉  王佳鹏 ,北京联合出版公司, 2021-12 ,◎“灵魂是身体的监狱” ◎哲学史的反叛者与颠覆者 西方文化的考古学家 福柯 ◎十堂课读懂大师思想 让哲学不再令人生畏 ◎英国格兰塔出版社王牌书系 【编辑...,9.0,1452, 42.00,https://img9.doubanio.com/view/subject/s/public/s34016425.jpg
影像的叛逆 : 法国当代哲学的艺术之思,董树宝 ,北京大学出版社, 2023-5 ,【内容简介】 面对源远流长的柏拉图主义传统，福柯、德勒兹与加塔利、德里达与鲍德里亚等法国当代哲学家在影像、再现、差异与拟像的层面上展开一场奇异的思想行动，如...,,10, 98.00元,https://img2.doubanio.com/view/subject/s/public/s34578051.jpg
时间的秩序,[意] 卡洛·罗韦利  杨光 ,湖南科学技术出版社, 2019-6 ,为什么我们记得过去，而非未来？时间“流逝”意味着什么？是我们存在于时间之内，还是时间存在于我们之中？卡洛·罗韦利用诗意的文字，邀请我们思考这一亘古难题——时...,8.9,21258, 56.00元,https://img2.doubanio.com/view/subject/s/public/s32332471.jpg
疯癫与文明 : 理性时代的疯癫史：修订译本,[法]米歇尔·福柯  刘北成、杨远婴 ,生活·读书·新知三联书店, 2019-7 ,本书是中文世界最为人熟知的福柯作品，自1999年出版以来已售出十余万册。 罗兰·巴尔特说，这部著作是对知识的清洗和质疑。它把“自然”的一个片断交还给历史，改...,9.0,2613, 38.00元,https://img1.doubanio.com/view/subject/s/public/s33324950.jpg
意识的河流,[英国] 奥利弗·萨克斯  陈晓菲 ,北京联合出版公司, 2023-7 ,◎ 编辑推荐 当现象被描述得越来越细致，待解答的问题却没有随着日进的详尽而减少。研究世界的手段越来越丰富，探到问题内部的通道也增加了许多，对问题的解释力度和...,8.6,208, 42.00元,https://img2.doubanio.com/view/subject/s/public/s34589432.jpg
导读维特根斯坦《逻辑哲学论》,[英] 罗杰·M. 怀特  张晓川 ,拜德雅 | 重庆大学出版社, 2018-6 ,-编辑推荐- 《逻辑哲学论》是维特根斯坦在世时正式出版的唯一一部哲学著作，它改变了20世纪上半叶的哲学方向，是20世纪最重要的哲学著作之一，对该书中观点的透...,9.5,196, 35.00元,https://img9.doubanio.com/view/subject/s/public/s29779465.jpg
尼采与哲学,[法] 吉尔·德勒兹  周颖、刘玉宇 ,河南大学出版社, 2016-8 ,20世纪50、60年代，法国知识界正在为马克思主义、存在主义和现象学争论不休的时候，德勒兹却为尼采的思想所痴迷。他在1962年发表的专著《尼采与哲学》突然搅...,9.5,714, 58.00元,https://img1.doubanio.com/view/subject/s/public/s28905050.jpg
前期谢林的先验存在论研究,倪逸偲 ,人民出版社, 2023-6 ,本研究承继了20世纪德国新康德主义与“海德堡学派”的思想传统，特别专注于探索为人类个体性经验提供根据的前意识先验自我的动态结构，并依托前期谢林丰富的思想资源...,9.5,25, 68.00元,https://img9.doubanio.com/view/subject/s/public/s34573706.jpg
技术哲学导论,[美]瓦尔·杜谢克  张卜天 ,中信出版社, 2023-6-3 ,技术哲学是哲学中一个年轻的分支，它是对技术的哲学思考，着重研究技术的本质、技术发展的一般规律和价值，以及技术与社会的关系等。如今，技术已经深入普罗大众的生活...,8.2,11, 78.00元,https://img9.doubanio.com/view/subject/s/public/s34552355.jpg
西西弗神话 : 加缪作品,(法)阿尔贝·加缪  沈志明 ,上海译文出版社, 2013-8 ,阿尔贝•加缪（1913—1960）是法国声名卓著的小说家、散文家和剧作家，“存在主义”文学的大师。1957年因“热情而冷静地阐明了当代向人类良知提出的种种问...,8.8,14600, 32,https://img1.doubanio.com/view/subject/s/public/s33556519.jpg
理想国,柏拉图  郭斌和、张竹明 ,商务印书馆, 2018-10 ,《理想国》是柏拉图的一篇重要对话录，涉及柏拉图思想体系的各个方面，包括哲学、伦理、教育、文艺、政治等内容，主要的是探讨理想国家的问题。对话录里柏拉图以苏格拉...,9.3,1479, 56,https://img1.doubanio.com/view/subject/s/public/s29897220.jpg
瞧，这个人 : 人如何成其所是,[德]尼采  孙周兴 ,商务印书馆, 2016-4 ,作为颇有争议的哲学家，近百年来，后世对尼采的评论毁誉不一。出于对自己成就的认可，这位目空一切的天才和疯子写了自己的传记，让后人得以理解他的学术轨迹和人生历程...,8.9,1445, 18.00,https://img2.doubanio.com/view/subject/s/public/s28671631.jpg
作为哲学家的尼采,【美】阿瑟•丹托  郝苑 ,浙江大学出版社, 2022-2 ,几乎没有哪位哲学家像尼采那样受到广泛的阅读，也几乎没有哪位哲学家像尼采那样受到普遍的误解。当丹托的经典尼采研究在1965年首次出版时，许多人将尼采视为一位才...,9.0,67, 98.00元,https://img9.doubanio.com/view/subject/s/public/s34071116.jpg
西方哲学史讲演录 : 全新增订版,赵林 ,上海三联书店, 2022-1 ,★ 国家教学名师赵林教授倾情讲授，基于多年来在武汉大学开设、场场被挤满的 “西方哲学史”通识课，作者在本书中将深奥的哲学思想结合自己多年的研究体会娓娓道来，...,9.4,1039, 88.00元,https://img2.doubanio.com/view/subject/s/public/s34073062.jpg
哲学史方法论十四讲,邓晓芒 ,生活·读书·新知三联书店, 2019-4 ,“哲学史方法论”是武汉大学哲学系三十余年来的经典课程，由哲学系老前辈萧萐父、陈修斋、杨祖陶等人创立。该课程的学术信念是，按照德国古典哲学的传统，把哲学史和哲...,9.4,386, 69.00元,https://img9.doubanio.com/view/subject/s/public/s32285424.jpg
一个或所有问题 : 一份哲学草稿（修订本）,赵汀阳 ,生活·读书·新知三联书店, 2023-5 ,哲学起源于思想对人的存在方式或思想方式的反身困惑，不可思议的命运、无法回避的苦难、一筹莫展的悖论和难以解决的矛盾才是哲学必须面对的。哲学反思困难和苦难，不研...,9.2,35, 69.00元,https://img9.doubanio.com/view/subject/s/public/s34503725.jpg
中国哲学十九讲,牟宗三 ,贵州人民出版社, 2020-3 ,牟宗三，中国现代学者、哲学家、哲学史家，海外新儒学的重要代表和集大成者。哲学大家刘述先曾说，牟宗三在当代中国哲学的地位比之于康德在西方哲学的地位。 《中国哲...,9.2,536, 45.00元,https://img1.doubanio.com/view/subject/s/public/s33597199.jpg
爱的艺术,[美] 艾·弗洛姆  李健鸣 ,上海译文出版社, 2008-4 ,《爱的艺术》是德裔美籍心理学家和哲学家、法兰克福学派重要成员艾里希-弗洛姆最著名的作品，自1956年出版至今已被翻译成32种文字，在全世界畅销不衰，被誉为当...,8.8,47482, 15.00元,https://img9.doubanio.com/view/subject/s/public/s2990934.jpg
金花的秘密 : 中国的生命之书,[瑞士] 荣格、[德] 卫礼贤  张卜天 ,商务印书馆, 2016-7 ,本书为荣格对道家经典《太乙金华宗旨》的长篇评述，为东西方思想深度碰撞的经典著作。20世纪20年代，德国著名汉学家卫礼贤将《太乙金华宗旨》译成德文，荣格读后大...,8.7,1778, 38.00元,https://img9.doubanio.com/view/subject/s/public/s29113244.jpg
人的自我寻求,【美】罗洛·梅  郭本禹、方红 ,中国人民大学出版社, 2013-9 ,《人的自我寻求》的主题是关于个体人格如何在孤独的时代得以重建。本书从分析人的空虚、孤独与焦虑入手，解释现代人面临的严重心理困境，并进一步指出，造成这一混乱的...,9.2,1627, 48,https://img9.doubanio.com/view/subject/s/public/s27134464.jpg
本雅明电台,[德]瓦尔特·本雅明  王凡柯 编译 ,上海人民出版社, 2023-7 ,中文世界首次结集×本雅明的广播作品！ 天才思想家化身宝藏UP主，初代播客元老本雅明的营业时光。 淡豹、李雪琴、刘擎、徐英瑾、郁喆隽倾情力荐！ 边角聊、柏拉图...,8.1,184, 69.00,https://img1.doubanio.com/view/subject/s/public/s34567178.jpg
如果没有今天，明天会不会有昨天？,[瑞士] 伊夫·博萨尔特  区立远 ,民主与建设出版社·读行者品牌, 2017-2 ,假设你在桥上，目睹电车即将撞上轨道上的五个人，拯救他们的唯一办法，就是把站在你身旁的一个人推下去，你会怎么选择？ 假设博物馆里每一幅画都是相同的红色画布，只...,8.2,4633, 35.00元,https://img1.doubanio.com/view/subject/s/public/s29263759.jpg
理性主义：从笛卡尔到莱布尼茨 : 科普勒斯顿哲学史（第4卷）,弗雷德里克·科普勒斯顿  陈焱 ,九州出版社, 2022-11 ,★ 编辑推荐 ◎ 广阔的思想史视野 本书以其详尽的内容在哲学史界占据无可比拟的重要地位，力图破除哲学简史类书籍对哲学家、哲学思想漫画式的理解，不仅细致地描述...,9.6,39, 75.00元,https://img2.doubanio.com/view/subject/s/public/s34374042.jpg
日常生活的现象学,黄旺 ,上海社会科学院出版社, 2023-3 ,-编辑推荐- 刷着朋友圈和短视频，你是否在某一瞬间会突然自问：“这到底有什么意义？！”你又是否想过，可能它们的意义恰恰在于它们的无意义？ 你曾受够了一份工作...,8.0,198, 78.00元,https://img1.doubanio.com/view/subject/s/public/s34416850.jpg
工厂日记,[法]西蒙娜·薇依  王天宇 ,上海人民出版社, 2023-4-30 ,**** 法国向当代世界奉献出的一份珍贵礼物：西蒙娜·薇依。 ——切斯瓦夫·米沃什 *****内容简介****** 如何摆脱工作中的痛苦和烦闷？为了像被压迫...,9.2,450, 58.00,https://img1.doubanio.com/view/subject/s/public/s34501309.jpg
传习录（中华经典名著全本全注全译/三全本）,王阳明  陆永胜 ,中华书局, 2021-11 ,《传习录》是记录王阳明思想的语录体著作。最初由王阳明的首徒徐爱提议，经由路侃、南大吉、钱德洪等众人之手，最后形成了现在通行的三卷本《传习录》。书后附有《朱子...,9.4,286, 48.00元,https://img9.doubanio.com/view/subject/s/public/s34104676.jpg
科学之死 : 20世纪科学哲学思想简史,马建波 ,上海科技教育出版社, 2018-8-1 ,从为科学知识系对自然客观真实的反映进行辩护，到把科学知识贬低为人们主观建构的关于“自然”的神话，这两种迥然不同的科学观之间，其实只有一步之遥。本书所要讲述的...,8.9,63, CNY 45.00,https://img1.doubanio.com/view/subject/s/public/s29903897.jpg
认识你自己 : 从古希腊到当代的哲学史考察,[瑞士]乌苏拉·伦茨 编  王萱婕 等 ,东方出版中心, 2023-9 ,获得自知之明常被视为哲学探索的主要目标之一，同时，某种程度的自我认知也会被认为是我们作为行动者或主体的一个必要条件。因此，自我认识既是人类探索智慧的开端，也...,,10, 69.80,https://img9.doubanio.com/view/subject/s/public/s34639106.jpg
寻找动词的形而上学,赵汀阳 ,生活·读书·新知三联书店, 2023-8 ,赵汀阳“第一哲学”系列之一，收录了作者九篇近二十年有关形而上学问题的思考文章，集中呈现了其有关创世存在论、共在存在论、动词哲学、时间分叉、历史形而上学、问题...,,10, 78.00元,https://img2.doubanio.com/view/subject/s/public/s34557802.jpg
黑格尔传,[法] 雅克·董特  李成季、邓刚 ,上海人民出版社, 2023-7-1 ,-----编辑推荐-------- * 国际权威的黑格尔传记 * 揭示被刻意隐藏的生活，展现一个全新的黑格尔 * 空脊锁线，完美平摊，送精美大书签 ----...,8.3,14, 78.00,https://img1.doubanio.com/view/subject/s/public/s34568348.jpg
维特根斯坦与《逻辑哲学论》,（英）迈克尔•莫里斯  李国山 ,广西师范大学出版社, 2022-8 ,一部解读《逻辑哲学论》的权威研究；一本剖析维特根斯坦早期思想的经典著作。逐段逐句解读原著，专业译者，译文精准、流畅，让艰深哲学经典不再遥不可及。大学问出品 ...,9.1,32, 108,https://img2.doubanio.com/view/subject/s/public/s34290191.jpg
世界观（原书第3版） : 现代人必须要懂的科学哲学和科学史,[美] 理查德·德威特  孙天 ,机械工业出版社, 2020-8-20 ,本书是一本让人大开脑洞、训练思维、自我成长的人文通识读本。它介绍了科学史和科学哲学根本的问题，如什么是真理、哲学性/概念性事实等；涵盖了目前对科学世界观产生...,9.0,1071, 109.00元,https://img1.doubanio.com/view/subject/s/public/s33708330.jpg
非此即彼（上卷） : 一个生命的残片,[丹] 克尔凯郭尔  京不特 ,中国社会科学出版社, 2009-6 ,《非此即彼》（上下卷）是克尔凯郭尔作为自由思想家的真正的起步之作，它具有典型的复调结构，拥有多种解读的可能性。作者一反欧洲哲学从概念到概念、重注逻辑和推理的...,9.0,707, 69.00元,https://img1.doubanio.com/view/subject/s/public/s6103990.jpg
柏格森主义,[法]吉尔·德勒兹  安靖 ,上海人民出版社, 2023-5 ,这是一部大师解读大师的著作。 在本书中，哲学家德勒兹尝试以自己的方法解读另一位哲学家柏格森。 德勒兹主要参考了柏格森的《论意识的直接所予》《物质与记忆》《创...,9.5,54, 48.00,https://img1.doubanio.com/view/subject/s/public/s34517938.jpg
不在场 : 东亚文化与哲学,[德]韩炳哲  吴琼 ,中信出版集团, 2023-7-3 ,这个故事源自中国，讲的是一位老画家，向朋友们展示他最新的画作。画中描绘的是一个园子，一条小径依水而行，穿越一片郁郁葱葱，尽头是一扇小门，通向一间小小的房舍。...,7.8,43, 68,https://img1.doubanio.com/view/subject/s/public/s34565600.jpg
