book_name,authors,publisher,pub_time,desc,score,people_num,price
红楼梦,[清] 曹雪芹 著 ,人民文学出版社, 1996-12 ,都云作者痴，谁解其中味？,9.6,413885, 59.70元
活着,余华 ,作家出版社, 2012-8-1 ,生的苦难与伟大,9.4,806552, 20.00元
1984,[英] 乔治·奥威尔  刘绍铭 ,北京十月文艺出版社, 2010-4-1 ,栗树荫下，我出卖你，你出卖我,9.4,275815, 28.00
三体全集 : 地球往事三部曲,刘慈欣 ,重庆出版社, 2012-1 ,地球往事三部曲,9.5,178124, 168.00元
哈利·波特,J.K.罗琳 (J.K.Rowling)  苏农 ,人民文学出版社, 2008-12-1 ,从9¾站台开始的旅程,9.7,99452, 498.00元
百年孤独,[哥伦比亚] 加西亚·马尔克斯  范晔 ,南海出版公司, 2011-6 ,魔幻现实主义文学代表作,9.3,414705, 39.50元
飘,[美国] 玛格丽特·米切尔  李美华 ,译林出版社, 2000-9 ,革命时期的爱情，随风而逝,9.3,208442, 40.00元
三国演义（全二册）,[明] 罗贯中 ,人民文学出版社, 1998-05 ,是非成败转头空,9.3,164243, 39.50元
房思琪的初恋乐园,林奕含 ,北京联合出版公司, 2018-2 ,向死而生的文学绝唱,9.2,366763, 45.00元
动物农场,[英] 乔治·奥威尔  荣如德 ,上海译文出版社, 2007-3 ,太阳底下并无新事,9.3,154293, 10.00元
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔  丁钟华 等  群众出版社 ,1981-8, 53.00元,名侦探的代名词,9.3,130422,68.00元
白夜行,[日] 东野圭吾  刘姿君 ,南海出版公司, 2013-1-1 ,一宗离奇命案牵出跨度近20年步步惊心的故事,9.2,458443, 39.50元
小王子,[法] 圣埃克苏佩里  马振聘 ,人民文学出版社, 2003-8 ,献给长成了大人的孩子们,9.1,743060, 22.00元
撒哈拉的故事,三毛 ,哈尔滨出版社, 2003-8 ,游荡的自由灵魂,9.2,167776, 15.80元
安徒生童话故事集,（丹麦）安徒生  叶君健 ,人民文学出版社, 1997-08 ,为了争取未来的一代,9.3,129087, 25.00元
天龙八部,金庸 ,生活·读书·新知三联书店, 1994-5 ,有情皆孽，无人不冤,9.2,130360, 96.00元
呐喊,鲁迅 ,人民文学出版社, 1973-3 ,新文学的第一声呐喊,9.2,155488, 0.36元
悉达多 : 一首印度的诗,[德] 赫尔曼·黑塞  姜乙 ,天津人民出版社, 2017-1 ,,9.3,87156, 32.00元
杀死一只知更鸟,[美] 哈珀·李  高红梅 ,译林出版社, 2012-9 ,有一种东西不能遵循从众原则，那就是——人的良心,9.2,141852, 32.00元
邓小平时代,【美】傅高义 (Ezra.F.Vogel)  冯克利 ,生活·读书·新知三联书店, 2013-1-18 ,个人命运背后的历史变局,9.3,65888, 88.00元
明朝那些事儿（1-9） : 限量版,当年明月 ,中国海关出版社, 2009-4 ,不拘一格的历史书写,9.2,166335, 358.20元
失踪的孩子 : 那不勒斯四部曲4,[意] 埃莱娜·费兰特  陈英 ,人民文学出版社, 2018-7 ,我的整个生命，只是一场为了提升社会地位的低俗斗争。,9.2,76814, 62.00元
新名字的故事 : 那不勒斯四部曲2,[意] 埃莱娜·费兰特  陈英 ,人民文学出版社, 2017-4 ,探索青年时代的激情、困惑、挣扎、背叛和失去,9.2,87339, 59.00元
沉默的大多数 : 王小波杂文随笔全编,王小波 ,中国青年出版社, 1997-10 ,沉默是沉默者的通行证,9.1,147836, 27.00元
野草,鲁迅 ,人民文学出版社, 1973-3 ,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,9.5,44971, 0.20元
中国历代政治得失,钱穆 ,生活·读书·新知三联书店, 2001 ,一部简明的“中国政治制度史”,9.2,69644, 12.00元
局外人,[法] 阿尔贝·加缪  柳鸣九 ,上海译文出版社, 2010-8 ,人生在世，永远也不该演戏作假,9.1,230879, 22.00元
人类简史 : 从动物到上帝,[以色列] 尤瓦尔·赫拉利  林俊宏 ,中信出版社, 2014-11 ,跟着人类一同走过十万年,9.1,194740, 68.00元
平凡的世界（全三部）,路遥 ,人民文学出版社, 2005-1 ,中国当代城乡生活全景,9.0,318950, 64.00元
白鹿原,陈忠实 ,人民文学出版社, 2012-9 ,一轴关于我们民族灵魂的现实主义画卷,9.2,102456, 39.00元
乡土中国,费孝通 ,上海人民出版社, 2006-04-01 ,中国乡土社会传统文化和社会结构理论研究代表作,9.2,85203, 38.00
围城,钱锺书 ,人民文学出版社, 1991-2 ,幽默的语言和对生活深刻的观察,9.0,442104, 19.00
笑傲江湖（全四册）,金庸 ,生活·读书·新知三联书店, 1994-5 ,欲练此功，必先自宫,9.1,109687, 76.80元
罗杰疑案 : 阿加莎·克里斯蒂侦探作品集02,[英] 阿加莎·克里斯蒂  常禾 ,新星出版社, 2013-3 ,,9.2,68256, 28.00元
彷徨,鲁迅 ,人民文学出版社, 1973-3 ,路漫漫其修远兮，吾将上下而求索,9.3,62781, 0.37元
我与地坛 : 史铁生代表作,史铁生 ,春风文艺出版社, 2002-5 ,这是你的罪孽与福祉,9.2,102423, 25.00元
东方快车谋杀案,[英] 阿加莎·克里斯蒂  陈尧光 ,人民文学出版社, 2006-5 ,谋杀诡计惊人，波洛的抉择耐人寻味,9.1,136156, 18.00元
肖申克的救赎,[美] 斯蒂芬·金  施寄青 ,人民文学出版社, 2006-7 ,豆瓣电影Top1原著,9.1,119006, 29.90元
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯  陈澄和 ,广西师范大学出版社, 2015-4 ,当声称能改造智能的科学实验选中心智障碍主角,9.1,99378, 36.00元
基督山伯爵,[法国] 大仲马  周克希 ,上海译文出版社, 1991-12-1 ,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景,9.1,127149, 43.90元
许三观卖血记,余华 ,作家出版社, 2012-9 ,,9.2,151013, 24.00元
